Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Urban population,SP.URB.TOTL,Jordan,JOR,2609586,3994220,5793037,6183176,6603229,7048251,7498500,7928375,8266820,8558068,8804594,..
Urban population,SP.URB.TOTL,Kazakhstan,KAZ,9198366,8349417,9133481,9275230,9421047,9566957,9718100,9874723,10032906,10189588,10342065,..
Urban population,SP.URB.TOTL,Kenya,KEN,3919452,6256130,9328191,9746644,10183670,10639302,11114369,11607776,12119879,12650892,13201277,..
Urban population,SP.URB.TOTL,Kiribati,KIR,25335,36259,46811,48647,50481,52328,54188,56083,58023,60000,61996,..
Urban population,SP.URB.TOTL,"Korea, Dem. People’s Rep.",PRK,11847897,13622622,14725515,14847670,14971082,15095843,15220957,15345595,15468715,15594344,15722317,..
Urban population,SP.URB.TOTL,"Korea, Rep.",KOR,31656393,37428328,40351067,40602657,40909592,41089082,41240244,41463573,41645542,41797024,41946498,..
Urban population,SP.URB.TOTL,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Urban population,SP.URB.TOTL,Kuwait,KWT,2057077,2030234,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528,..
Urban population,SP.URB.TOTL,Kyrgyz Republic,KGZ,1658864,1729037,1899444,1923436,1949521,1986238,2031430,2079480,2131200,2185215,2240912,..
Urban population,SP.URB.TOTL,Lao PDR,LAO,657380,1171221,1813313,1877880,1941847,2005638,2069945,2136474,2206306,2279998,2357012,..
Urban population,SP.URB.TOTL,Latvia,LVA,1844232,1611520,1452351,1423002,1397904,1381242,1367090,1354815,1344323,1332897,1321159,..
Urban population,SP.URB.TOTL,Lebanon,LBN,2246747,2782415,3647168,3787799,4014088,4308540,4631890,4927916,5155504,5301846,5378567,..
Urban population,SP.URB.TOTL,Lesotho,LSO,224022,365293,490526,506016,522440,537195,552652,568676,585153,602018,619305,..
Urban population,SP.URB.TOTL,Liberia,LBR,1162328,1278737,1808379,1887717,1961536,2031529,2099640,2168892,2241711,2318631,2398934,..
